,name,symbol,currentPrice,r,s,m,v,PE,revenueGrowth,operatingCashflow,freeCashflow,marketValue
0,南亞,1303.TW,65.5,0.00013641424245615643,56.097094436987845,0.00014070286474163811,0.01603203566290495,98.52143336908271,-0.327,65753001984,-7775802880,519468716288.0
0,台聚,1304.TW,19.5,2.2396424793464775e-05,14.11850596945714,4.3522640118162104e-05,0.02214188052888594,25.222148794377215,-0.285,6899858944,-1181174400,20909850624.0
0,華夏,1305.TW,22.2,1.2346799687820078e-05,13.157034737607455,2.4545147111384326e-05,0.025885836412265797,-15.302762823827102,-0.31,905694976,-1329770880,12899309644.8
0,三芳,1307.TW,24.45,0.000150555125757946,20.714293603028324,0.00018068899083081806,0.017697653264010006,15.138879371187935,-0.152,2145993984,1384954752,9726649708.8
0,亞聚,1308.TW,23.55,6.111314753845252e-05,14.53630249159216,7.690936864531487e-05,0.021584627712496512,10.174346491983945,-0.293,2334433024,528340736,13982647084.800001
0,台達化,1309.TW,17.0,1.4008342824683167e-06,10.317142947670733,1.7534538327769076e-05,0.023607743034786705,-44.862841903918834,-0.285,161212992,-693990528,6758979136.0
0,台苯,1310.TW,15.3,-0.00015701293190839523,17.150293016042465,-0.0001297106980580339,0.02251757322003178,-14.5058180364719,-0.394,-729142976,-647878848,8076411244.8
0,國喬,1312.TW,16.15,-0.00011911524529916809,16.240689512798927,-7.177857469591037e-05,0.024046732203881527,-8.537642287199851,-0.293,2308131072,-7985346048,14641913516.8
0,聯成,1313.TW,14.7,1.652311229433462e-05,11.5711431929458,3.0420276704156035e-05,0.022307532268902763,-8.150980239573782,-0.149,2676615936,1434546048,19373277235.2
0,中石化,1314.TW,10.2,-3.183689224836712e-05,9.850798397464127,-3.261610375883982e-05,0.023837130849262977,-46.89151872664712,-0.144,-9123103744,-8498375680,38605469184.0
0,達新,1315.TW,71.4,0.00028212952887209065,60.20889788459863,0.00027964152902699513,0.014339621277729527,7.3558272986930575,-0.093,813880000,-40269248,6820627800.000001
0,上曜,1316.TW,10.45,-0.00018297646759072846,15.654111110128014,-0.00014751565836390698,0.025116519116485186,520.8555311646568,-0.803,-754841024,-1110556160,2704909433.6
0,東陽,1319.TW,81.2,0.0002697711463707079,33.941844268480224,0.00028832666657781735,0.020914572745510753,8.775135169229845,0.024,6071368192,3290251520,48027931750.4
0,大洋,1321.TW,35.25,0.00012925909043497524,22.547207444372113,0.00014417654730925554,0.0188788747639022,41.813278793736835,-0.401,-276540000,-10053000,7779145968.0
0,永裕,1323.TW,31.4,0.00024104398508245883,20.883330808360004,0.0002579816498758787,0.017143828497353786,12.164444898354498,-0.055,578873984,139131504,2853757600.0
0,地球,1324.TW,18.9,6.287068385181103e-05,12.65919888297669,2.547436193149595e-05,0.019295900234342578,39.57344730927186,-0.118,39308000,64932500,1419805800.0
0,恆大,1325.TW,22.5,4.986080308475565e-05,23.80041648389553,5.725619491237995e-05,0.01887712984263845,72.15261770714785,-0.314,115537000,-54759624,1918822500.0
0,台化,1326.TW,63.1,0.00019135267634759777,63.63456346647385,0.00021409205714852713,0.016418790821533982,-92.32790182875247,-0.303,27717586944,-28940099584,369073155942.4
0,昭輝,1339.TW,62.3,0.00030675771455282067,47.03745335729319,0.00027496508197333053,0.016762631534895225,10.29562456885341,-0.016,699515008,329416512,4617925200.0
0,八貫,1342.TW,106.5,0.000502707874844456,75.66907541350366,0.0005367007732893334,0.02027470939666274,11.07719094817039,-0.019,676476992,289557504,7592139624.0
