,symbol,name,foreign_invest,foreign_proprietor,invest_trust,proprietor,total
304,2327,國巨            ,"50,127",0,"-6,337","64,842","108,632"
305,2603,長榮            ,"-102,840",0,"-4,000","214,023","107,183"
306,2349,錸德            ,"109,000",0,0,"-2,000","107,000"
307,2849,安泰銀          ,"98,000",0,0,"8,000","106,000"
308,1904,正隆            ,"103,000",0,0,"3,000","106,000"
309,6197,佳必琪          ,"-38,000",0,0,"142,496","104,496"
310,00912,中信臺灣智慧50  ,"-6,000",0,0,"110,427","104,427"
311,1305,華夏            ,"158,100",0,"-13,038","-42,000","103,062"
312,1533,車王電          ,"108,000",0,0,"-5,000","103,000"
313,00733,富邦臺灣中小    ,"-1,895",0,0,"104,666","102,771"
314,3056,富華新          ,"151,530",0,0,"-50,948","100,582"
315,8464,億豐            ,"-3,090",0,"110,000","-6,610","100,300"
316,5434,崇越            ,"100,000",0,0,0,"100,000"
317,1103,嘉泥            ,"101,000",0,0,"-1,000","100,000"
318,1467,南緯            ,"99,000",0,0,0,"99,000"
319,006207,復華滬深        ,"48,000",0,0,"50,943","98,943"
320,2105,正新            ,"729,265",0,"-543,000","-87,575","98,690"
321,020028,元大特選電動車N ,0,0,0,"97,000","97,000"
322,8021,尖點            ,"95,000",0,0,664,"95,664"
323,2636,台驊投控        ,"95,768",0,0,-189,"95,579"
324,1463,強盛            ,"95,000",0,0,0,"95,000"
325,2305,全友            ,"95,000",0,0,-999,"94,001"
326,2506,太設            ,"88,000",0,0,"6,000","94,000"
327,2617,台航            ,"93,000",0,0,999,"93,999"
328,2236,百達-KY         ,"92,000",0,0,0,"92,000"
329,1720,生達            ,"62,000",0,0,"29,000","91,000"
330,8105,凌巨            ,"93,000",0,0,"-2,003","90,997"
331,1905,華紙            ,"35,000",0,0,"54,674","89,674"
332,6706,惠特            ,"88,000",0,0,0,"88,000"
333,1568,倉佑            ,"88,000",0,0,0,"88,000"
334,2480,敦陽科          ,"88,000",0,0,-350,"87,650"
335,2464,盟立            ,"87,000",0,0,138,"87,138"
336,2103,台橡            ,"85,000",0,0,"2,000","87,000"
337,6192,巨路            ,"-14,000",0,0,"101,000","87,000"
338,00681R,元大美債20反1   ,0,0,0,"85,000","85,000"
339,2302,麗正            ,"85,000",0,0,0,"85,000"
340,2493,揚博            ,"86,000",0,"-1,000",0,"85,000"
341,4536,拓凱            ,"85,000",0,0,0,"85,000"
342,3016,嘉晶            ,"93,000",0,0,"-8,013","84,987"
343,5522,遠雄            ,"68,000",0,0,"16,688","84,688"
344,6133,金橋            ,"84,000",0,0,0,"84,000"
345,2540,愛山林          ,"82,000",0,0,"1,000","83,000"
346,2836,高雄銀          ,"91,000",0,0,"-8,000","83,000"
347,1219,福壽            ,"81,000",0,0,"1,000","82,000"
348,00907,永豐優息存股    ,"27,000",0,0,"54,986","81,986"
349,2450,神腦            ,"81,000",0,0,369,"81,369"
350,4952,凌通            ,"85,000",0,0,"-3,923","81,077"
351,2637,慧洋-KY         ,"75,000",0,0,"6,000","81,000"
352,3027,盛達            ,"81,000",0,0,0,"81,000"
353,6753,龍德造船        ,"48,100",0,0,"32,797","80,897"
354,2906,高林            ,"78,000",0,0,"2,000","80,000"
355,3419,譁裕            ,"80,000",0,0,0,"80,000"
356,2474,可成            ,"-85,030",0,"42,565","122,384","79,919"
357,2206,三陽工業        ,"160,000",0,0,"-80,410","79,590"
358,1612,宏泰            ,"77,000",0,0,"1,000","78,000"
359,3592,瑞鼎            ,"163,000",0,"-90,000","5,000","78,000"
360,2460,建通            ,"78,000",0,0,0,"78,000"
361,1309,台達化          ,"77,000",0,0,745,"77,745"
362,1783,和康生          ,"77,800",0,0,-725,"77,075"
363,5215,科嘉-KY         ,"79,000",0,0,"-2,982","76,018"
364,01003T,兆豐新光R1      ,"76,000",0,0,0,"76,000"
365,2472,立隆電          ,"75,000",0,0,"-2,000","73,000"
366,5222,全訊            ,"79,000",0,0,"-6,000","73,000"
367,6128,上福            ,"73,000",0,0,0,"73,000"
368,6449,鈺邦            ,"73,000",0,0,0,"73,000"
369,6558,興能高          ,"72,030",0,0,-580,"71,450"
