,Unnamed: 0,代號,股票名稱,上市日,市場別,產業別
565,567,3164,景岳,2010-03-22,上市,生技醫療業
566,568,3167,大量,2013-10-21,上市,電機機械
567,569,3189,景碩,2004-11-01,上市,半導體業
568,570,3209,全科,2008-11-26,上市,電子通路業
569,571,3229,晟鈦,2009-12-31,上市,電子零組件業
570,572,3231,緯創,2003-08-19,上市,電腦及週邊設備業
571,573,3257,虹冠電,2011-03-21,上市,半導體業
572,574,3266,昇陽,2014-12-24,上市,建材營造業
573,575,3296,勝德,2007-12-31,上市,電子零組件業
574,576,3305,昇貿,2008-07-10,上市,其他電子業
575,577,3308,聯德,2008-03-12,上市,電子零組件業
576,578,3311,閎暉,2004-03-08,上市,通信網路業
577,579,3312,弘憶股,2010-12-29,上市,電子通路業
578,580,3321,同泰,2015-12-15,上市,電子零組件業
579,581,3338,泰碩,2013-12-13,上市,電子零組件業
580,582,3346,麗清,2016-12-19,上市,汽車工業
581,583,3356,奇偶,2005-03-28,上市,光電業
582,584,3376,新日興,2007-12-31,上市,電子零組件業
583,585,3380,明泰,2004-12-20,上市,通信網路業
584,586,3406,玉晶光,2005-12-20,上市,光電業
585,587,3413,京鼎,2015-07-28,上市,半導體業
586,588,3416,融程電,2015-01-23,上市,電腦及週邊設備業
587,589,3419,譁裕,2008-01-21,上市,通信網路業
588,590,3432,台端,2010-12-30,上市,電子零組件業
589,591,3437,榮創,2014-07-09,上市,光電業
590,592,3443,創意,2006-11-03,上市,半導體業
591,593,3447,展達,2022-12-15,上市,通信網路業
592,594,3450,聯鈞,2006-04-12,上市,半導體業
593,595,3454,晶睿,2011-07-22,上市,光電業
594,596,3481,群創,2006-10-24,上市,光電業
595,597,3494,誠研,2007-12-13,上市,電腦及週邊設備業
596,598,3501,維熹,2007-09-20,上市,電子零組件業
597,599,3504,揚明光,2007-01-26,上市,光電業
598,600,3515,華擎,2007-11-08,上市,電腦及週邊設備業
599,601,3518,柏騰,2007-11-28,上市,其他電子業
600,602,3528,安馳,2016-05-18,上市,電子通路業
601,603,3530,晶相光,2018-07-16,上市,半導體業
602,604,3532,台勝科,2007-12-10,上市,半導體業
603,605,3533,嘉澤,2007-12-10,上市,電子零組件業
604,606,3535,晶彩科,2008-01-31,上市,光電業
605,607,3536,誠創,2008-04-30,上市,半導體業
606,608,3543,州巧,2020-04-15,上市,光電業
607,609,3545,敦泰,2007-07-03,上市,半導體業
608,610,3550,聯穎,2010-11-10,上市,電子零組件業
